Name,TwitterHandle,Date,TweetUrl,Text,Location,TimeZone,Language,VizPic,Latitude,Longitude
Paul Wachtler,PaulWachtlerPMP,2018-02-06 01:26:51,https://t.co/BzZNGEFeZM,#MakeoverMonday 2018 Week 6 - WAR: What Is It Good For?  Looking at ethnic breakdown in baseball from 1947 to 2016… https://t.co/BzZNGEFeZM,Washing,,en,,4.7102396,-74.1286848
Kate Brown,katebrown_5,2018-02-06 00:44:15,https://t.co/usPr2u0OEx,made an attempt at #makeovermonday in power bi earlier today and didn't love the result so I did a Tableau version… https://t.co/usPr2u0OEx,"Boston, MA",Eastern Time (US & Canada),en,,42.3604823,-71.0595678
Bruce Henry,FPVdata,2018-02-06 00:43:51,https://t.co/pECmu2sjzk,"#MakeoverMonday 
Black History month and MLB
https://t.co/pECmu2sjzk https://t.co/kPAmauvqO8","Cincinnati, OH",,en,http://pbs.twimg.com/media/DVUBBBWU0AMUlAl.jpg,39.1014537,-84.5124602
Joel Gluck,joelrgluck,2018-02-06 00:15:10,https://t.co/JN6zEsgmP6,#MakeoverMonday submission for week 5 - 2 Americas: #Wealth &amp; #Poverty Link to viz: https://t.co/JN6zEsgmP6 https://t.co/8Dh7U9sexl,Northern California,Pacific Time (US & Canada),en,http://pbs.twimg.com/media/DVT6l-IW4AUo8OJ.jpg,32.7349196,-117.1545974
Philip Riggs,PhilipDRiggs,2018-02-05 23:09:06,https://t.co/KS02d1ejPs,"I really know nothing about major league baseball, so I'd really appreciate any feedback for this week's… https://t.co/KS02d1ejPs","Fort Collins, Colorado",Mountain Time (US & Canada),en,,40.5508527,-105.0668085
anitha,anithaaavi,2018-02-05 23:06:44,https://t.co/5VErYUVEwU,my first #MakeoverMonday as a part of #visualizediversity and #BlackHistoryMonth #nbl18 #AfricanAmerican #Tableau… https://t.co/5VErYUVEwU,,,en,,,
Marc Soares,Marc_Soares,2018-02-05 22:52:03,https://t.co/JbjMJGG5cB,My week 6 #MakeoverMonday on the changing demographics of MLB players since 1947. I went for a newspaper-style viz:… https://t.co/JbjMJGG5cB,"Toronto, Canada",Eastern Time (US & Canada),en,,43.653963,-79.387207
Fence&DeckConnection,FDConnection_MD,2018-02-05 22:45:29,https://t.co/OFGC9uPKSa,#MakeOverMonday: The original deck was a 20+ year old wooden deck with an awkward stair design. We redesigned the d… https://t.co/OFGC9uPKSa,"Veterans Hwy Millersville, MD",Eastern Time (US & Canada),en,,,
Select Surfaces,selectsurfaces,2018-02-05 22:15:01,https://t.co/9t7Giqm44n,"""When you give to @SOSOutreach, you don't just help our kids gear up for outdoor adventure - you help them gear up… https://t.co/9t7Giqm44n","Avon, Colorado",Mountain Time (US & Canada),en,,39.6329025,-106.471183807855
Jed Eastman,jedeastman,2018-02-05 22:12:23,https://t.co/Bxkv3AI1Tj,#MakeoverMonday week 6 looking at trends in the demographics of @MLB. Admittedly not the most rigorous data analyti… https://t.co/Bxkv3AI1Tj,"Salt Lake City, UT",Pacific Time (US & Canada),en,,40.7670126,-111.8904308
UF Project Makeover,projectmakeover,2018-02-05 22:05:54,https://t.co/3F6LzDnYTV,"For this #MakeoverMonday, we will be featuring our Executive Director, Chelsea Carrasquillo. Don't forget to keep s… https://t.co/3F6LzDnYTV","Gainesville, FL",Eastern Time (US & Canada),en,,29.6519396,-82.3249961
Gauthier Bonnot,Gauthier_Bonnot,2018-02-05 21:58:09,https://t.co/6CBToVigB3,"My quick take at this week's new #MakeOverMonday, I focused on the growth of the Latino ethnic group among baseball… https://t.co/6CBToVigB3","London, England",Pacific Time (US & Canada),en,,51.5073219,-0.1276474
Rodrigo Calloni,tableauing,2018-02-05 21:15:46,https://t.co/2HhUUAY0Jp,"#makeovermonday year 3 week 6

TAKE ME OUT TO THE BALLGAME
for the first time in decades the % of white @MLB player… https://t.co/2HhUUAY0Jp","Washington, DC",,en,,38.8949549,-77.0366456
Nicole Hawkins,Coleyoleyo,2018-02-05 20:44:19,https://t.co/tO7uvOoZ3F,#MakeoverMonday coming at you! This Sweet Soul is ready to take flight and Soar High! A Zipper… https://t.co/tO7uvOoZ3F,"Moline, IL",Alaska,en,,41.5067003,-90.5151342
Rody Zakovich,RodyZakovich,2018-02-05 20:41:52,https://t.co/w8UTRy06Je,"#MakeoverMonday Week 6
The MLB Diversity Gap
https://t.co/w8UTRy06Je 
#VisualizeDiversity @tableau @tableaupublic https://t.co/GOrPLBWikq",,,en,http://pbs.twimg.com/media/DVTJiAwWkAUfgWv.jpg,,
Liyang Wang,liyang_w,2018-02-05 19:57:47,https://t.co/KNNY4DhKU1,"Focused on story telling this week #MakeoverMonday #week6 #mmvizreview #Tableau @VizWizBI @TriMyData 

https://t.co/KNNY4DhKU1",,,en,,,
Pamela Germain,PamelaGFT9,2018-02-05 19:34:07,https://t.co/X78zhB2Z5u,#MakeoverMonday In celebration of #BlackHistoryMonth Baseball team contribution % since Jackie Robinson's debut in… https://t.co/X78zhB2Z5u,"Chicago, IL",America/Chicago,en,,41.8755546,-87.6244212
The Ultimate Shave,ULTIMATESHAVE1,2018-02-05 19:29:47,https://t.co/YicUe1BACB,#makeovermonday #beforeandafter #before #ultimateshave #theultimateshave… https://t.co/YicUe1BACB,"Glen Mills, PA",Eastern Time (US & Canada),und,,39.919698,-75.4904323
Brit Cava,databrit,2018-02-05 18:50:13,https://t.co/b5QlONTr9O,Honoring #BlackHistoryMonth with Tableau &amp; #MakeoverMonday. Share your viz with #VisualizeDiversity:… https://t.co/b5QlONTr9O,SF Bay Area,Eastern Time (US & Canada),en,,37.7884969,-122.3558473
Ludovic Tavernier,ltavernier7,2018-02-05 18:09:11,https://t.co/TOzoIdPDDp,#MakeoverMonday week 6 - Share of African American Players Among Baseball Minorities #VisualizeDiversity… https://t.co/TOzoIdPDDp,"Nantes, France",,en,,47.2186371,-1.5541362
Joel Gluck,joelrgluck,2018-02-05 18:04:59,https://t.co/JN6zEsgmP6,#MakeoverMonday submission for week 5 - 2 Americas: #Wealth &amp; #Poverty Link to viz: https://t.co/JN6zEsgmP6 https://t.co/XVrPf98Xcz,Northern California,Pacific Time (US & Canada),en,http://pbs.twimg.com/media/DVSl3T1X4AEzBFJ.jpg,32.7349196,-117.1545974
Katie Blunt,ktblunty,2018-02-05 18:00:52,https://t.co/hJbzwlUgkA,Blog post: #Makeovermonday - Turning a table into a upholstered coffee/ footstool/ ottoman https://t.co/hJbzwlUgkA… https://t.co/FoO9J2rzHb,"Lichfield, England",London,en,,52.6843696,-1.8275286
Lindsay Betzendahl,ZenDollData,2018-02-05 17:59:06,https://t.co/hIh2hxzWzJ,"So I hate baseball and know nothing about it, which made today's #makeovermonday that much harder, but the challeng… https://t.co/hIh2hxzWzJ",CT,Eastern Time (US & Canada),en,,41.6500201,-72.7342163
Mike Cisneros,mikevizneros,2018-02-05 17:55:35,https://t.co/ygQYqZSCye,"Ethnicity in North American Sport

The most ethnically-balanced league in professional North American sports is… https://t.co/ygQYqZSCye","Washington, DC",,en,,38.8949549,-77.0366456
Rosario Gauna,rosariogaunag,2018-02-05 17:42:33,https://t.co/qZb7MADDh2,"Week06 - Where are All the African American Baseball Players? | #MakeoverMonday | #Tableau @TriMyData @VizWizBI 
Vi… https://t.co/qZb7MADDh2","Nuevo León, México",Pacific Time (US & Canada),en,,26.2384363,-99.8873
Laura Sandford,Schofe23,2018-02-05 17:00:38,https://t.co/ZPxDrWAfSj,Our first Live #MakeoverMonday was a success! It's a great chance to get together and learn something new (though I… https://t.co/ZPxDrWAfSj,,,en,,,
Dilyana Suleymanova,DilyanaFlower,2018-02-05 16:58:32,https://t.co/6BgCI9OTDu,In recent years the number of Latino baseball players has risen sharply #makeovermonday Week 6… https://t.co/6BgCI9OTDu,"Berlin, Deutschland",Pacific Time (US & Canada),en,,52.5170365,13.3888599
Chloe Tseng,datachloe,2018-02-05 16:41:03,https://t.co/alBjsa64lh,#VizforSocialGood will be collaborating with @tableau &amp; 3 amazing communities to celebrate #BlackHistoryMonth with… https://t.co/alBjsa64lh,,Pacific Time (US & Canada),en,,,
TransMedia Group,TransMediaGroup,2018-02-05 16:31:51,https://t.co/6It81c1hDV,"Check out Makeover Medicine with @jackiebrobinson out now!! Let us know what you think and make sure to subscribe,… https://t.co/6It81c1hDV","Boca Raton, FL",Eastern Time (US & Canada),en,,26.3586885,-80.0830984
Heritage Works DBQ,HeritageWorkDBQ,2018-02-05 16:29:54,https://t.co/nxAaKCR5Wb,"#MakeoverMonday The Gazette talks about why mixed-use buildings are becoming more popular! #ThisPlaceMatters
https://t.co/nxAaKCR5Wb","Dubuque, IA",Central Time (US & Canada),en,,42.5006217,-90.6647967
jen annett,annett_jen,2018-02-05 16:18:19,https://t.co/MMoXHxST6i,"It’s #makeovermonday! After putting this off for far too long, I’m excited to be working with… https://t.co/MMoXHxST6i","Penticton, British Columbia",Pacific Time (US & Canada),en,,49.494891,-119.594421
Curtis Harris,Harris7Curtis,2018-02-05 16:00:58,https://t.co/elZuZbzxIn,"Alas, since there isn't enough time, here is my take on the ethnicity gap in baseball. #VisualizeDiversity… https://t.co/elZuZbzxIn","Salt Lake City, UT",Pacific Time (US & Canada),en,,40.7670126,-111.8904308
Hari,Harish5Bala,2018-02-05 15:55:24,https://t.co/pk2Z05RYD0,"#MakeoverMonday 'Latinos' starting to dominate MLB @TriMyData @VizWizBI 
https://t.co/pk2Z05RYD0 https://t.co/JoBs5ebBCc","Chicago, IL",,en,http://pbs.twimg.com/media/DVSIJ5bWAAAxXGe.jpg,41.8755546,-87.6244212
Joseph Poltorak,PoltorakJ,2018-02-05 15:37:22,https://t.co/XneHSJAhIZ,#MakeoverMonday 2018 Week 6 - looking at how African American representation in MLB has changed over the last 70 ye… https://t.co/XneHSJAhIZ,Winchester,,en,,51.0612766,-1.3131692
