Name,TwitterHandle,Date,TweetUrl,Text,Location,TimeZone,Language,VizPic,Latitude,Longitude
Ludovic Tavernier,ltavernier7,2018-01-17 10:47:00,https://t.co/OxLWU32Rxs,"#MakeoverMonday week 3 - Household Income Distribution in the US with @Toucan_Toco , Mobile first #dataviz app !? https://t.co/OxLWU32Rxs","Nantes, France",,en,,47.2186371,-1.5541361999999999
Kris Curtis,CurtyCanViz,2018-01-17 10:00:00,https://t.co/Sz5ZFOJNP3,"My #MakeoverMonday viz for this week.
https://t.co/Sz5ZFOJNP3 https://t.co/5CIDG1GI3T",London,London,en,http://pbs.twimg.com/media/DTvAigkXkAE7M8c.jpg,51.5073219,-0.1276474
Nai Louza,nai_louza,2018-01-17 07:21:00,NoLink,I'm living for all the #MakeoverMonday constructive criticism in 2018! ??,,,en,,,
Alexander Mou,aleksoft,2018-01-17 07:01:00,https://t.co/0NXzkpznMt,Creating Radial Bump Chart in @tableau #MakeoverMonday https://t.co/0NXzkpznMt https://t.co/Ah90bis4L7,"California, USA",Beijing,en,http://pbs.twimg.com/media/DTuXtCgU8AI3CGZ.jpg,36.7014631,-118.75599740000001
Michael DiPalma,MichaelLDiPalma,2018-01-17 06:26:00,https://t.co/kHgm3JVPzH,#MakeoverMonday Week 3 - U.S. Household Income Distribution by State. Full viz @ https://t.co/kHgm3JVPzH #Tableau? https://t.co/eUviDdn6SA,,Eastern Time (US & Canada),en,,,
Bart.Pop?da,BartPopeda,2018-01-17 03:11:00,https://t.co/ioIBhqlBdh,"#MakeoverMonday '18 #2
Romantic partners and selection criteria https://t.co/ioIBhqlBdh przez @tableaupublic",,,ro,,,
Joel Gluck,joelrgluck,2018-01-17 02:55:00,https://t.co/pw70ov5m9H,@VizWizBI @TriMyData #MakeoverMonday submission for week 3 - Household #Income &amp; #wealth distribution #mmvizreview? https://t.co/pw70ov5m9H,Northern California,Pacific Time (US & Canada),en,,32.7349196,-117.15459740000001
Kelly Gilbert,kelly_gilbert,2018-01-17 00:40:00,https://t.co/HiAikUJ94L,"@mikevizneros @DataRemixed @jeweloree @Jadalytics @tableaupublic I'd love to know how everyone ""scouts"" for their? https://t.co/HiAikUJ94L",,Eastern Time (US & Canada),en,,,
Neil Richards,theneilrichards,2018-01-16 23:49:00,https://t.co/qfcahR84tL,"Salaries in US 2009-2016: this week's #MakeoverMonday. Complete with obligatory (for this week, at least)? https://t.co/qfcahR84tL","Derbyshire, UK",London,en,,53.11850329999999,-1.556617931
Nai Louza,nai_louza,2018-01-16 23:49:00,https://t.co/fmr7Bpw9Vo,"Had a lot of fun with vizzes in tooltips on this one! #MakeoverMonday 

https://t.co/fmr7Bpw9Vo https://t.co/ZSgpZEeNsm",,,en,http://pbs.twimg.com/media/DTs0vriVAAA7Ij7.jpg,,
edgar.valdez,edgar_valdezg,2018-01-16 22:57:00,https://t.co/t0U5sJjW4J,"Final version of #MakeoverMonday  week3 https://t.co/t0U5sJjW4J
Any feedback is welcome! @TriMyData @VizWizBI https://t.co/XMuKwgGSYq",,Wellington,en,http://pbs.twimg.com/media/DTso8wQV4AABp2i.jpg,,
Nicole Lohr,nicole_lohr9,2018-01-16 22:34:00,https://t.co/3tYiX4KOLo,#Makeovermonday Week 3 US Census Annual Household Income on the Rise in some areas. Take two...with #vizintooltip i? https://t.co/3tYiX4KOLo,"Lewisburg, PA",Atlantic Time (Canada),en,,40.964529299999995,-76.8844101
Rosario Gauna,rosariogaunag,2018-01-16 22:13:00,https://t.co/Qi0iahz21d,Week03 - U.S. Household Income Distribution by State #MakeoverMonday | #Tableau @TriMyData @VizWizBI? https://t.co/Qi0iahz21d,"Nuevo León, México",Pacific Time (US & Canada),en,,26.2384363,-99.8873
Alex Roth,a13xmr,2018-01-16 22:10:00,https://t.co/PPh0mQaUNs,"#Tableau #MakeoverMonday week 3: Just wanted to try out tile grid maps AND vizzes in tooltips, just as everyone els? https://t.co/PPh0mQaUNs",,,en,,,
Sarah Bartlett,sarahlovesdata,2018-01-16 22:07:00,https://t.co/Ra5NgKKv9U,#MakeoverMonday week 3 - Household Income Distribution in the US @tableaupublic https://t.co/Ra5NgKKv9U #Tableau https://t.co/eGWGVgOO1j,"Basingstoke, England",,en,http://pbs.twimg.com/media/DTsdUMTW0AAJUxH.jpg,51.262826000000004,-1.0861976
Yanyu MI,Happywater_BI,2018-01-16 21:57:00,https://t.co/O808vsWI4K,Hello Everyone! Just start my first Twitter #myfirstTweet  with amazing Tableau #Tableau Makeover Monday project :)? https://t.co/O808vsWI4K,,,en,,,
Guilherme Lourenço,GuiLourenzo,2018-01-16 21:05:00,NoLink,"I'm late (again), but at least I did something...

#MakeoverMonday #dataWorld https://t.co/zbdeb0AscD",Brasil,Brasilia,en,http://pbs.twimg.com/media/DTsPMeOW0AA5rYi.jpg,-10.333333300000001,-53.2
Joel Gluck,joelrgluck,2018-01-16 20:55:00,https://t.co/DYfYszAHDt,@VizWizBI @TriMyData #MakeoverMonday submission for week 3 - Household #Income &amp; #wealth distribution #mmvizreview? https://t.co/DYfYszAHDt,Northern California,Pacific Time (US & Canada),en,,32.7349196,-117.15459740000001
DataVizAbby,Abbylovesdata,2018-01-16 20:48:00,NoLink,Dataset for #MakeoverMonday this week is doing my head in ?,"Lagos, Nigeria",Amsterdam,en,,6.4550575,3.3941795
Jeff Plattner,JtothaVizzo,2018-01-16 20:39:00,https://t.co/bxGX2L70dm,A #MakeoverMonday on U.S. HH Income Distribution seemed like a good opportunity to combine two slight obessions; ti? https://t.co/bxGX2L70dm,"Minneapolis, MN",Pacific Time (US & Canada),en,,44.9772995,-93.2654692
Curtis Harris,Harris7Curtis,2018-01-16 19:10:00,https://t.co/pZZuo7c7jg,"Not my greatest effort, but here is my #MakeoverMonday on US Household Income Distribution @VizWizBI @TriMyData? https://t.co/pZZuo7c7jg","Salt Lake City, UT",Pacific Time (US & Canada),en,,40.7670126,-111.89043079999999
Steve Gesuale,stevegesuale,2018-01-16 18:50:00,https://t.co/RPVr5rZjzm,"1st MM submission! #MakeoverMonday

https://t.co/RPVr5rZjzm https://t.co/032vG5FzmV",,,en,http://pbs.twimg.com/media/DTrq-G3VQAAlRTC.jpg,,
TopCats Cheerleaders,PanthersTopCats,2018-01-16 18:37:00,https://t.co/2pYkG6uPse,Did you miss our last #MakeoverMonday video of the season? Don't worry we've got you covered! Click the link and le? https://t.co/2pYkG6uPse,"Charlotte, NC",Atlantic Time (Canada),en,,35.2270869,-80.8431268
Austin Graff,AustinKGraff,2018-01-16 18:22:00,https://t.co/aMnvH0Qd4p,I don?t work in #dataviz but I love facts. My new obsession is creeping on #MakeoverMonday. This is fascinating! ?? https://t.co/aMnvH0Qd4p,Washington D.C.,Eastern Time (US & Canada),en,,38.8949549,-77.03664559999999
Lindsay Betzendahl,ZenDollData,2018-01-16 18:14:00,https://t.co/WggP55AFz0,I spent way too much time on this #makeovermonday #viz for what it's worth. These exercises are really great in lea? https://t.co/WggP55AFz0,CT,Eastern Time (US & Canada),en,,41.6500201,-72.7342163
Nina Lindell,ninatsuts,2018-01-16 18:05:00,https://t.co/RFkVJ9ShNi,"An attempt to apply E.R.Tufte's #dataviz principles for this #MakeoverMonday: many data points, high data-ink ratio? https://t.co/RFkVJ9ShNi","Stockholm, Sweden",Volgograd,en,,59.3251172,18.0710935
Steve Fenn,StatHunting,2018-01-16 17:51:00,https://t.co/FyZ7f7eTj2,"When geographic information is useful but there aren't important geographic trends, it now might be best to put a? https://t.co/FyZ7f7eTj2","Denver, CO",Eastern Time (US & Canada),en,,39.7391536,-104.9847034
Staticum,staticum,2018-01-16 17:06:00,https://t.co/TCnMAYotaV,"#makeovermonday week 3: ""US HOUSEHOLD INCOME LEVELS RELATIONSHIP"" @TriMyData @VizWizBI #tableau #MMVizReview 

TABL? https://t.co/TCnMAYotaV","Santiago, Chile",,en,,-33.4377968,-70.65044509999998
Tom Pilgrem,Tom_Pilgrem,2018-01-16 16:39:00,https://t.co/kBp0hYEBrn,Playing with Viz in Tooltips for first #MakeoverMonday of 2018 @VizWizBI @TriMyData @datadotworld? https://t.co/kBp0hYEBrn,"Plymouth, England",Pacific Time (US & Canada),en,,50.3712659,-4.1425658
Jeff Plattner,JtothaVizzo,2018-01-16 16:20:00,https://t.co/DyGAUxcQ74,"Thrilled to share that at the end of this month, I will begin a new career in Information Analytics and Data Visual? https://t.co/DyGAUxcQ74","Minneapolis, MN",Pacific Time (US & Canada),en,,44.9772995,-93.2654692
Sean Miller,kcmillersean,2018-01-16 16:11:00,https://t.co/v5XLmzrDsM,#MakeoverMonday is a wonderful sandbox to play in and try new things AND it's a great place to practice your craft.? https://t.co/v5XLmzrDsM,"Kansas City, MO",Central Time (US & Canada),en,,38.73285,-94.534816
Dan LaDuke,dan_laduke,2018-01-16 16:07:00,https://t.co/jRHAWx3OAT,"@VizWizBI @TriMyData #MakeoverMonday week 3 2018 #MMVizReview
Colors are a bit intense, but hey, 'Merica! What do y? https://t.co/jRHAWx3OAT",,,en,,,
Colin Wojtowycz,datawoj,2018-01-16 16:07:00,https://t.co/aorrzeQTGB,My design process for this #Makeovermonday now up on https://t.co/aorrzeQTGB https://t.co/eb6AYAFwnv,Chester,Pacific Time (US & Canada),en,,53.1908873,-2.8908955
Polly Van Hagen,polly_vanHagen,2018-01-16 16:01:00,https://t.co/lFMmq1LLXu,"It's #TransformationTuesday at GEAES Nantgarw. New look,, new food offer..great job! Congratulations to Lisa,? https://t.co/lFMmq1LLXu",,Pacific Time (US & Canada),en,,,
Keith Dykstra,keith_dykstra,2018-01-16 15:42:00,https://t.co/HJxSLnuo1u,"Are D.C.'s rich pushing out the poor? What's going on in North Dakota? Still so many unanswered questions, but chec? https://t.co/HJxSLnuo1u","Washington, DC",,en,,38.8949549,-77.03664559999999
Adam Crahen,acrahen,2018-01-16 14:46:00,https://t.co/oKfDh1kV0I,"#MakeoverMonday S3 E3 | U.S. Income
 https://t.co/oKfDh1kV0I https://t.co/2pKTWLwHK9","Honeoye Falls, NY",Eastern Time (US & Canada),en,http://pbs.twimg.com/media/DTq4shyXcAAcdkc.jpg,42.9520098,-77.5914698
Michele Groarke,michelegroarke,2018-01-16 11:48:00,NoLink,#MakeoverMonday U.S. Household Income distribution by State https://t.co/9TgDTmoyCh,,,en,http://pbs.twimg.com/media/DTqPxjHWkAAosNo.jpg,,
marcela janowska,ekomarcek,2018-01-16 11:14:00,https://t.co/9aAI3fqf5k,#MakeoverMonday Week3 It's interactive! I've tried to get the overview of what the distribution of income is as of? https://t.co/9aAI3fqf5k,"Romsey, England",,en,,50.993266399999996,-1.4895057790000001
TK,takazi88,2018-01-16 09:49:00,https://t.co/JBFsXOOgy5,#MakeoverMonday Week 3 Household incoke distribution in US Viz Link : https://t.co/JBFsXOOgy5 @tableau? https://t.co/X7m4IU5KHv,"Bengaluru, India",,en,,12.979119800000001,77.5912997
Young Song,ycsong21,2018-01-16 09:46:00,https://t.co/C7NxytoXeQ,"Apologies for the poor quality of the video I posted for this week's #MakeoverMonday.  I have posted a PNG file, ho? https://t.co/C7NxytoXeQ","Brisbane, Queensland",,en,,-27.468968199999996,153.02349909999998
Rahul Singh,rsingh0404,2018-01-16 09:25:00,https://t.co/jFmBXINgoS,"Visualizing Household Income Distribution in the U.S. by State
 #MakeoverMonday Week 3
@TriMyData @VizWizBI? https://t.co/jFmBXINgoS",Hyderabad,International Date Line West,en,,17.3886068,78.46080957
Kashish Chauhan,KongKash,2018-01-16 09:08:00,https://t.co/HuAQa26fjL,"USA Household Income #MakeoverMonday @VizWizBI @TriMyData @tableaupublic 
Link: https://t.co/HuAQa26fjL
Profile:? https://t.co/0ijeeRhDGy","Faridabad, India",,en,,28.402836999999998,77.30856259999999
Mauricio Pinilla,MauricioData,2018-01-16 06:24:00,https://t.co/LP53oL3PR9,"Finished #MakeoverMonday Week 3 on #Tableau. There's still a big learning curve, but I feel pretty good about this? https://t.co/LP53oL3PR9","New York, USA",,en,,40.7306458,-73.9866136
edgar.valdez,edgar_valdezg,2018-01-16 05:39:00,NoLink,"Preview of #MakeoverMonday week3, dealing with some issues to publish it into tableau public.. https://t.co/yomka5ekuq",,Wellington,en,http://pbs.twimg.com/media/DTo7T3dUQAAmaTB.jpg,,
Alexander Mou,aleksoft,2018-01-16 05:01:00,https://t.co/lQ2XsTBezK,Some friend suggested to use percentage for the bubble size. What a great idea! Now we see what % of people think i? https://t.co/lQ2XsTBezK,"California, USA",Beijing,en,,36.7014631,-118.75599740000001
Chaitanya Bapat,ChaiBapchya,2018-01-16 04:57:00,https://t.co/runb8k1iQC,@tableaupublic First attempt! #MakeoverMonday Week 3 | State by State Income Level Change in the United States sinc? https://t.co/runb8k1iQC,"Atlanta, GA",Mumbai,en,,33.749098700000005,-84.39018490000001
Chaitanya Bapat,ChaiBapchya,2018-01-16 04:50:00,https://t.co/6FupHoCFEz,#MakeoverMonday Week 3 | State by State Income Level Change in the United States since 2009 @VizWizBI @TriMyData? https://t.co/6FupHoCFEz,"Atlanta, GA",Mumbai,en,,33.749098700000005,-84.39018490000001
Aparna,AparnaNelapati,2018-01-16 04:42:00,https://t.co/SX8Hc2cEro,"#MakeoverMonday  week 3/2018 @VizWizBI ,@TriMyData 
  Household income Distribution In Us States? https://t.co/SX8Hc2cEro",,,en,,,
graph hopper,graph_hopper,2018-01-16 04:29:00,https://t.co/L7pIXc1IGt,"Still not 100% sure about flipping the y-axis on this one. What do you think?

#MakeoverMonday week 3 - Household I? https://t.co/L7pIXc1IGt",,,en,,,
Steven Watson,watsonstevenc,2018-01-16 03:50:00,https://t.co/r1OFJ67I2v,#MakeoverMonday @VizWizBI @TriMyData I've been quiet lately but I'd love your opinion on this. I decided to tell a? https://t.co/r1OFJ67I2v,"Fort Worth, TX",,en,,32.753177,-97.3327459
Starr Haigler,thedailystarr,2018-01-16 03:42:00,https://t.co/tyxkoVtuQb,#makeovermonday / WE CUT DOWN THE GIANT CHRISTMAS TREE https://t.co/tyxkoVtuQb,,,en,,,
Brian,Letz00,2018-01-16 03:05:00,https://t.co/KI8HplqyzI,"Week 3 of #MakeoverMonday @VizWizBI @TriMyData Oil and Gas Boom
https://t.co/KI8HplqyzI https://t.co/jCiUT6EJ2p",Letzelter,,en,http://pbs.twimg.com/media/DToYPgfX0AElEcx.jpg,49.816632,6.7524614000000005
Robert Crocker,robcrock,2018-01-16 02:26:00,NoLink,This calls for another happy dance! You can FINALLY see what direction I'm taking with this #makeovermonday ? https://t.co/QkI6g1UixF,,Pacific Time (US & Canada),en,http://pbs.twimg.com/media/DToPMD5UQAA7zNi.jpg,,
Young Song,ycsong21,2018-01-16 02:18:00,https://t.co/T8LfYhNieF,"@VizWizBI @TriMyData #MakeoverMonday 2018/W03.  First ever experiments with hexmap, waffle chart and #VizInTooltips? https://t.co/T8LfYhNieF","Brisbane, Queensland",,en,,-27.468968199999996,153.02349909999998
Candi,MunroeCandi,2018-01-16 02:01:00,https://t.co/cE75RhwrF1,This was a lot of fun! My first crack at #MakeoverMonday #Tableau @VizBizWiz @TriMyData https://t.co/cE75RhwrF1 https://t.co/22EjBeNznD,"Toronto, Ontario",,en,http://pbs.twimg.com/media/DToJG8dW0AAvBgI.jpg,43.653963,-79.38720699999999
Karastan,karastan,2018-01-16 02:00:00,https://t.co/nWhctUiCFS,#MakeoverMonday bring back the elegance of Old World designs with the vibrant and contrasting colors of traditional? https://t.co/nWhctUiCFS,"Atlanta, Georgia",Eastern Time (US & Canada),en,,33.749098700000005,-84.39018490000001
Alexander Mou,aleksoft,2018-01-16 01:28:00,https://t.co/jqszjuoRSa,The most important factor in a relationship partner #MakeoverMonday 2018 Week2 #MMDataCamp @tableau @VizWizBI? https://t.co/jqszjuoRSa,"California, USA",Beijing,en,,36.7014631,-118.75599740000001
Anna Kisting,anna_kisting,2018-01-16 00:21:00,https://t.co/VoAmkRe6hr,So excited to join the #MakeoverMonday community!  @VizWizBI @TriMyData #Tableau https://t.co/VoAmkRe6hr https://t.co/I2MvaZjuAF,,,en,http://pbs.twimg.com/media/DTnyKUVV4AAIEFC.jpg,,
Eric Fisher Salon,efsalon,2018-01-15 23:52:00,https://t.co/lowNGR1GJt,"#MAKEOVERMONDAY: Eric, Tia, and Holly had a blast doing an incredible makeover for VIP Wichita Magazine! Be sure... https://t.co/lowNGR1GJt","Wichita, Kansas",Central Time (US & Canada),en,,37.6922361,-97.3375448
Pamela Germain,PamelaGFT9,2018-01-15 23:48:00,https://t.co/Cb2ommAStk,#MakeoverMonday @TriMyData @VizWizBI My attempt at trying to adjust for cost of living. I am always amazed how quic? https://t.co/Cb2ommAStk,"Chicago, IL",America/Chicago,en,,41.8755546,-87.6244212
Peter Empey,PeterEmpey,2018-01-15 23:13:00,https://t.co/8lMybeYExp,"Forget to post Last week but here is week 2 of #MakeoverMonday 
https://t.co/8lMybeYExp https://t.co/ru8WnGtfIi","Bountiful, UT",,en,http://pbs.twimg.com/media/DTnixJcVoAAUig2.jpg,40.889461100000005,-111.8804817
BuffalloWarrior,_karthik1107,2018-01-15 23:11:00,https://t.co/4EzWYblzOq,"WEEK 3 Submission. 
https://t.co/4EzWYblzOq  #MakeoverMonday https://t.co/TTt49VRwwp",OH,Eastern Time (US & Canada),en,http://pbs.twimg.com/media/DTnilL3VQAElhAm.jpg,40.225356899999994,-82.6881395
Fence&DeckConnection,FDConnection_MD,2018-01-15 22:54:00,https://t.co/3STuAF2RyJ,"#MakeOverMonday: New low maintenance Composite Deck in Severna Park, MD: Replaced existing deck with Trex Transcend? https://t.co/3STuAF2RyJ","Veterans Hwy Millersville, MD",Eastern Time (US & Canada),en,,,
Kevin Kretzmer,kev_viz,2018-01-15 22:09:00,https://t.co/AVyI1HXebA,"My first viz with new viz in tooltips feature!
#MakeoverMonday week 3 2018 #Tableau #mmvizreview? https://t.co/AVyI1HXebA",,Pacific Time (US & Canada),en,,,
Alex (Seals) Ternes,aternes13,2018-01-15 22:07:00,https://t.co/vVYtM2PXe3,"It's been a hot moment since I've done #MakeoverMonday and it was a bit rushed, but here it is. Could be way expand? https://t.co/vVYtM2PXe3",Kansas,America/Chicago,en,,38.27312,-98.58218719999999
Sergey Yasinov,SergeyYas,2018-01-15 22:03:00,https://t.co/1aoAsa9TrB,"#makeovermonday Week 3, based on designs by @mix_pix and @VizWizBI
https://t.co/1aoAsa9TrB @TriMyData https://t.co/b3KQyJY0fe",Israel,Pacific Time (US & Canada),en,http://pbs.twimg.com/media/DTnSZuzX0AIw7ab.jpg,30.8760272,35.0015196
Jeff Hancock,dukie1993jh,2018-01-15 21:54:00,https://t.co/TLmQCveNQi,@TriMyData @VizWizBI #makeovermonday I created my first hexmap for this view of US Household Income.? https://t.co/TLmQCveNQi,"Fairfax, VA",,en,,38.8462236,-77.3063733
Ollie Clarke,olliehclarke,2018-01-15 21:52:00,https://t.co/m7mm0gxZC0,My first #MakeoverMonday (Week 3) looking at Median Income Distribution using #Tableau @VizWizBI @TriMyData Very mu? https://t.co/m7mm0gxZC0,Kent,London,en,,51.247482299999994,0.7105077
András Szesztai,AndSzesztai,2018-01-15 21:40:00,https://t.co/I4n7tGFxns,"#MakeoverMonday 2018/W3 2.0

Inspired by once again the awesome book, The Big Book of Dashboards

United States Hou? https://t.co/I4n7tGFxns",,Paris,en,,,
Jiexuan Yang,Jiexuan_Yang,2018-01-15 21:33:00,https://t.co/5fY9IyvNfF,"#MakeoverMonday  #Tableau #MMDATACAMP @VizWizBI @TriMyData
@aleksoft  Makeover Monday 2018 Week 2:
Across the globe? https://t.co/5fY9IyvNfF",,,en,,,
Samuel Knight,5AMVintage,2018-01-15 21:30:00,NoLink,World's Largest Governmental Data Breaches - built with @rstudio #dataviz #MakeoverMonday #data https://t.co/jVrrOhmDUX,London,Pacific Time (US & Canada),en,http://pbs.twimg.com/media/DTnJMXoW4AA30Dn.jpg,51.5073219,-0.1276474
Toan Hoang,thoang1000,2018-01-15 20:56:00,NoLink,"@rajvivan Cheers, I am tempted to use this for this weeks #MakeoverMonday",London,,en,,51.5073219,-0.1276474
Liyang Wang,liyang_w,2018-01-15 20:46:00,https://t.co/4v5nSoLiFX,"Another challenge completed! Love the learning. #MakeoverMonday #week3 @VizWizBI @TriMyData #Tableau 

https://t.co/4v5nSoLiFX",,,en,,,
Umar Hassan,umarjourno,2018-01-15 20:17:00,https://t.co/EwSEwPPYT7,"For #MakeoverMonday Week 3, I compare the District of Columbia U.S. State Household Incomes of over $200,000, looki? https://t.co/EwSEwPPYT7","Birmingham, England",London,en,,52.4776875,-1.8948516
Jakub Jaros,jarosk88,2018-01-15 20:09:00,https://t.co/rjPJTGTnJV,"#MakeoverMonday @VizWizBI @TriMyData 
Week 3 - U.S. Household Income Distribution by State
https://t.co/rjPJTGTnJV https://t.co/IEjtoAmQEo",,,en,http://pbs.twimg.com/media/DTm4_OAXkAAUHzU.jpg,,
Spotlight Group,SpotlightComGrp,2018-01-15 19:53:00,https://t.co/nkCj76CGHP,"Our client, celebrity dermatologist @DrAvaMD was recently included on the wellness website, @iamwellandgood to help? https://t.co/nkCj76CGHP",,,en,,,
Sweet Dreams,SweetDreamsIowa,2018-01-15 19:51:00,NoLink,"This design is called ""Lover's Den"".
#MakeoverMonday
#SweetDreams https://t.co/BXRCqZ1K1m","Nevada, Iowa",Pacific Time (US & Canada),en,http://pbs.twimg.com/media/DTm0v6SU8AA8A4V.jpg,42.022765299999996,-93.45243420000001
Robert Crocker,robcrock,2018-01-15 19:36:00,https://t.co/dEMFVTilwq,"@ivseow @TriMyData @YellowfinBI @VizWizBI Yay, we need to get a coffee ASAP! Oh, and I am hosting a data vis speed? https://t.co/dEMFVTilwq",,Pacific Time (US & Canada),en,,,
Mark Bradbourne,MarkBradbourne,2018-01-15 19:34:00,https://t.co/U3D3vEQReb,#makeovermonday #typossuck https://t.co/U3D3vEQReb,"Cleveland, OH",Eastern Time (US & Canada),und,,41.5051613,-81.6934446
kevin borden,kevinborden,2018-01-15 19:20:00,https://t.co/xZiE5qF1dL,trying to publish my #MakeoverMonday viz and....this. @tableaupublic any way to salvage this or do I have to start? https://t.co/xZiE5qF1dL,,Quito,en,,,
Sarah Bartlett,sarahlovesdata,2018-01-15 19:07:00,NoLink,@davidmpires @VizWizBI @tableau @ncbignell @cheeky_chappie @PabloLGomez Future #MakeoverMonday?! ??,"Basingstoke, England",,en,,51.262826000000004,-1.0861976
John DeJesus,JohnnyData22,2018-01-15 18:44:00,https://t.co/7De9DynACG,Revision of #makeovermonday #2018w3 Viz. Thanks @robcrock for the feedback on @datadotworld! #mmvizreview? https://t.co/7De9DynACG,"New York, USA",,en,,40.7306458,-73.9866136
ClickInsight,ClickInsight,2018-01-15 18:17:00,https://t.co/CzgXbB4DV4,Are you interested in learning the ins and outs of Google Data Studio while advancing your data visualization skill? https://t.co/CzgXbB4DV4,"Toronto, Ontario, Canada",Eastern Time (US & Canada),en,,43.653963,-79.38720699999999
hhoefele,hhoefele,2018-01-15 18:13:00,https://t.co/pYkowHHp2X,Here is my first #MakeoverMonday Viz for Week #3.  Kept things simple..added regions. Might try to see what I can d? https://t.co/pYkowHHp2X,"Edison, NJ",,en,,40.5382375,-74.39451735
Trey Mathias PW,TMPWSC,2018-01-15 18:09:00,https://t.co/3EOkjuH8hU,"#MakeoverMonday
Check out these before/after pics of a concrete job my crew did!
Don't forget, we are still offerin? https://t.co/3EOkjuH8hU",Unknown,,en,,,
Sean Miller,kcmillersean,2018-01-15 17:51:00,https://t.co/NfEf44IVYW,Here's my week 3 #MakeoverMonday submission. Trying new things (to me) with this one. Small multiple &amp; and tile map? https://t.co/NfEf44IVYW,"Kansas City, MO",Central Time (US & Canada),en,,38.73285,-94.534816
Soha Elghany,s0_s0w,2018-01-15 17:31:00,https://t.co/ydx7ui8nea,#MakeoverMonday week 3 #Tableau it was a great opportunity to learn how to create hex-tile maps:? https://t.co/ydx7ui8nea,"London, England",,en,,51.5073219,-0.1276474
Tushar More,tusharz_more,2018-01-15 17:07:00,https://t.co/fy0zY6Xx6P,#MakeoverMonday wk-3 #MMVizReview Household Income Distribution across the US. Thanks for the feedback? https://t.co/fy0zY6Xx6P,,New Delhi,en,,,
Pussy&Pooch,PussyandPooch,2018-01-15 16:30:00,https://t.co/iPTFjXm2Gu,"#MakeoverMonday | Monday?s aren?t always dreadful, especially when it?s Makeover Monday! Pua from the #BeverlyHills? https://t.co/iPTFjXm2Gu",Southern California,Pacific Time (US & Canada),en,,34.0224149,-118.2863441
db,dbushnell1,2018-01-15 16:07:00,https://t.co/CRpH6SMuGs,#makeovermonday week 3 - US Households Income Distribution. Awesome chance to learn how to make a hex-tile map? https://t.co/CRpH6SMuGs,,Quito,en,,,
Sarah Burnett,sezbee,2018-01-15 16:05:00,https://t.co/5ld2ArmBQN,This week's #makeovermonday 2018 week 3 I wanted to have a go with hex maps thanks @srivizalot &amp; #tableau 10.5's ne? https://t.co/5ld2ArmBQN,Singapore,Wellington,en,,1.2904753,103.8520359
Smudge Chicago,smudgechicago,2018-01-15 15:01:00,https://t.co/Ve3TGNJYU8,"?On your wedding day, you should look like yourself at your most beautiful.? A wedding day makeover makes for the u? https://t.co/Ve3TGNJYU8",,,en,,,
Kalli Salla,SallaKalli,2018-01-15 14:55:00,https://t.co/sOOnPIX99t,"#makeovermonday
link: https://t.co/sOOnPIX99t https://t.co/YsUS3tASMw",,,en,http://pbs.twimg.com/media/DTlw69iW0AAcHeN.jpg,,
James Smith,sportschord,2018-01-15 14:51:00,https://t.co/6Cs4lKIf3k,"US Household Income Distribution for Makeover Monday

Experimenting with viz in tooltips and parameters!? https://t.co/6Cs4lKIf3k","London, England",Pacific Time (US & Canada),en,,51.5073219,-0.1276474
Daniel Caroli,Danifornication,2018-01-15 14:50:00,https://t.co/pZGymnh1VW,"I thought I?d have a second go with this dataset
US Household Earnings ? 2009 to 2016
#MakeoverMonday? https://t.co/pZGymnh1VW","Reading, England",London,en,,51.456659,-0.9696511999999999
Clint Bond,ConcertClint,2018-01-15 14:41:00,https://t.co/z3zWRYiWZl,"Short and Sweet #MakeoverMonday | In 2016, what states had highest % of Households that made over 200K and how did? https://t.co/z3zWRYiWZl",Kansas,Eastern Time (US & Canada),en,,38.27312,-98.58218719999999
Christopher Scott,cgscottDVA,2018-01-15 14:31:00,https://t.co/yXWHrkOB0P,This week's #MakeoverMonday helps shine a light on the income disparity among the states...hex maps and small multi? https://t.co/yXWHrkOB0P,"Raleigh, NC",,en,,35.7803977,-78.63909890000001
Mags K,MagsMagsK,2018-01-15 14:27:00,https://t.co/gIwSzrn0Nj,"I avoided looking at vizzes during week 1 of #MakeoverMonday to avoid any influence on my design. This week, I buil? https://t.co/gIwSzrn0Nj","Vancouver, British Columbia",,en,,49.2608724,-123.11395290000002
Reinhard Tockner,r_tockner,2018-01-15 13:54:00,https://t.co/Zq9jxJIEoz,"#Makeovermonday 2018-Week 3 | Showing the change in the US income  from 2009 to 2016.  My insight: the number of ""r? https://t.co/Zq9jxJIEoz",,,en,,,
Micha? Mokwi?ski,michalmokwinski,2018-01-15 13:31:00,https://t.co/DHxeGEaUcg,"First time using the #vizintooltip!

#MakeoverMonday week 3 - US Households Income Inequalities? https://t.co/DHxeGEaUcg","Warsaw, Poland",,en,,52.2319237,21.006726500000003
LM-7,LunarModule7,2018-01-15 13:29:00,NoLink,"I use ""Viz in Tool-tip"" which added in Tableau 10.5. #MakeoverMonday https://t.co/SMt3HHk1Ga",,Tokyo,en,http://pbs.twimg.com/media/DTldZCOVoAAoHeX.jpg,,
